title,artist,genre
I wonder,Da-iCE,J-POP
アイオライト,水瀬いのり,アニソン
愛して愛して愛して,きくお feat.初音ミク,ボカロ
アイマイモコ,水瀬いのり,アニソン
IRIS OUT,米津玄師,J-POP
irony,ClariS,アニソン
青い珊瑚礁,松田聖子,J-POP
青空のラプソディ,fhána,アニソン
青と夏,Mrs. GREEN APPLE,J-POP
青のすみか,キタニタツヤ,アニソン
秋のあなたの空遠く,lily white,アニソン
明け星,LiSA,アニソン
朝を呑む,バルーン feat. 初音ミク,ボカロ
明日への手紙,手嶌葵,J-POP
あの夢をなぞって,YOASOBI,J-POP
Absolute 5,ワルキューレ,アニソン
アポロ,ポルノグラフィティ,J-POP
天ノ弱,164 feat.GUMI,ボカロ
雨とカプチーノ,ヨルシカ,J-POP
雨とペトラ,バルーン feat. v flower,ボカロ
アヤノの幸福理論,じん feat. IA,ボカロ
ありふれた悲しみの果て,絢瀬絵里(CV.南條愛乃),アニソン
UNDEAD,YOASOBI,アニソン
イケナイ太陽,ORANGE RANGE,J-POP
一度だけの恋なら,ワルキューレ,アニソン
射手座☆午後九時Don't be late,シェリル・ノーム starring May'n,アニソン
命のユースティティア,Neru feat. 鏡音レン,ボカロ
ウィアートル,rionos,アニソン
Winter Blossom,美風藍(CV.蒼井翔太),アニソン
Watch me!,YOASOBI,アニソン
噓,シド,アニソン
泡沫サタデーナイト!,モーニング娘。’19,アイドル
エイリアンズ,KIRINJI,J-POP
エゴロック,すりぃ feat. 鏡音レン,ボカロ
ETERNAL BLAZE,水樹奈々,アニソン
ENAMEL,シド,アニソン
エメラルドシティ,TOKOTOKO(西沢さんP) feat. MAYU,ボカロ
大阪LOVER,DREAMS COME TRUE,J-POP
Overdose,なとり,J-POP
おくすり飲んで寝よう,もちうつね feat. 初音ミク,ボカロ
乙女解剖,DECO*27 feat.初音ミク,ボカロ
お勉強しといてよ,ずっと真夜中でいいのに。,J-POP
おやすみ泣き声、さよなら歌姫,クリープハイプ,J-POP
オリオンをなぞる,UNISON SQUARE GARDEN,アニソン
女の子は誰でも,東京事変,J-POP
怪獣,サカナクション,アニソン
怪獣の花唄,Vaundy,J-POP
快眠!安眠!スヤリスト生活,スヤリス姫(CV.水瀬いのり),アニソン
風に薫る夏の記憶,AAA,J-POP
風になる,つじあやの,アニソン
奏,スキマスイッチ,J-POP
カヌレ,CHiCO with HoneyWorks,アニソン
花瓶に触れた,バルーン feat. v flower,ボカロ
カブトムシ,aiko,J-POP
からくりピエロ,40mP feat.初音ミク,ボカロ
Calc.,ジミーサムP feat. 初音ミク,ボカロ
kiss,みきーの(みきとP×keeno) feat. 初音ミク,ボカロ
キス・ミー・パティシエ,CANDY TUNE,アイドル
KissHug,aiko,J-POP
君色に染まる,TOKOTOKO(西沢さんP) feat. GUMI,ボカロ
君がくれた夏,家入レオ,J-POP
君とtea for two♡,わーすた,アイドル
君と夏フェス,SHISHAMO,J-POP
君の知らない物語,Supercell,アニソン
逆光,Ado,アニソン
Catch You Catch,グミ(日向めぐみ),アニソン
Can Do,GRANRODEO,アニソン
きゅるりんしてみて,きゅるりんってしてみて,アイドル
きょういくばんぐみのテーマ,やみの おねえさん,ボカロ
境界の彼方,茅原実里,アニソン
キラキラ,aiko,J-POP
ギラギラ,Ado,J-POP
禁断少女,Juice=Juice,アイドル
クイーンオブハート,奏音69 feat. 巡音ルカ,ボカロ
Good-bye days,YUI for 雨音薫,J-POP
グリズリーに襲われたら♡,神宿,アイドル
紅蓮華,LiSA,アニソン
黒猫 ～Adult Black Cat,Acid Black Cherry,J-POP
群青,YOASOBI,J-POP
月光花,Janne Da Arc,アニソン
Get Wild,TM NETWORK,アニソン
小悪魔だってかまわない！,めいちゃん,J-POP
恋!ハレイション THE WAR,ワルキューレ,アニソン
恋になりたいAQUARIUM,Aqours,アニソン
恋のシグナル Rin rin rin!,星空凛(CV.飯田里穂),アニソン
恋の魔法,feat. ぱなまん/TOKOTOKO(西沢さんP),ボカロ
ゴーストルール,DECO*27 feat. 初音ミク,ボカロ
コールボーイ,syudou feat. 初音ミク,ボカロ
ココア,AAA,J-POP
心做し,蝶々P feat. GUMI,ボカロ
心予報,Eve,J-POP
God knows...,涼宮ハルヒ(CV.平野綾),アニソン
God Bless You,ワルキューレ,アニソン
コネクト,ClariS,アニソン
桜のあと（all quartets lead to the?）,UNISON SQUARE GARDEN,アニソン
錯覚CROSSROADS,BiBi(μ's),アニソン
サマータイムレコード,じん feat. IA,ボカロ
さようなら、花泥棒さん,メル feat. 初音ミク,ボカロ
小夜子,みきとP feat. 初音ミク,ボカロ
さよならプリンセス,Kai feat. 初音ミク,ボカロ
サラマンダー,DECO*27 feat. 初音ミク,ボカロ
サリシノハラ,みきとP feat.初音ミク,ボカロ
SUN,星野源,J-POP
366日,HY,J-POP
secret base〜君がくれたもの〜,ZONE,アニソン
栞,クリープハイプ,J-POP
7月のサイダー,超ときめき♡宣伝部,アイドル
CITRUS,Da-iCE,J-POP
Shout Baby,緑黄色社会,アニソン
シャボン玉,モーニング娘。,アイドル
ジャンキーナイトタウンオーケストラ,すりぃ feat. 鏡音レン,ボカロ
朱色の砂浜,みきとP feat. GUMI,ボカロ
少女レイ,みきとP feat. 初音ミク,ボカロ
シリョクケンサ,40mP feat. GUMI,ボカロ
白い恋人達,桑田佳祐,J-POP
しわ,buzzG feat. GUMI,ボカロ
真生活,案山子 feat. 初音ミク,ボカロ
sweets parade,髏々宮カルタ(CV.花澤香菜),アニソン
sweet&sweet holiday,Printemps,アニソン
スイートマジック,Junky feat. 鏡音リン,ボカロ
ずうっといっしょ！,キタニタツヤ,J-POP
好き!雪!本気マジック,Mitchie M feat. 初音ミク,ボカロ
好きって言ってよ,Juice=Juice,アイドル
スターマイン,Da-iCE,J-POP
スターライトパレード,SEKAI NO OWARI,J-POP
Starry Wish,水瀬いのり,アニソン
Stellar Stellar,星街すいせい,VTuber
Storm in Lover,園田海未(CV.三森すずこ)&絢瀬絵里(CV.南條愛乃),アニソン
ストロー,aiko,J-POP
Snow halation,μ's,アニソン
星間飛行,ランカ・リー＝中島愛,アニソン
星座になれたら,結束バンド,アニソン
青春コンプレックス,結束バンド,アニソン
輝夜の城で踊りたい,μ's,アニソン
世田谷ナイトサファリ,みきとP feat. 初音ミク,ボカロ
創聖のアクエリオン,AKINO,アニソン
soldier game,"西木野真姫(CV.Pile),園田海未(CV.三森すずこ)&絢瀬絵里(CV.南條愛乃)",アニソン
それがあなたの幸せとしても,Heavenz feat. 巡音ルカ,ボカロ
ダーリン,須田景凪,J-POP
ダイアモンド クレバス,シェリル・ノーム starring May'n,アニソン
タイムマシン,1640mP(164×40mP) feat.初音ミク,ボカロ
ただ君に晴れ,ヨルシカ,J-POP
脱獄,Neru feat. 鏡音リン,ボカロ
CHE.R.RY,YUI,J-POP
チェリー,スピッツ,J-POP
チェリボム,SILENT SIREN,アイドル
地球最後の告白を,kemu feat.GUMI,ボカロ
蝶,Acid Black Cherry,J-POP
ツインテールは20歳まで♡,きゅるりんってしてみて,アイドル
月陽-ツキアカリ-,みきとP feat. GUMI,ボカロ
月とあたしと冷蔵庫,いきものがかり,J-POP
DISCOTHEQUE,水樹奈々,アニソン
Dec.,Kanaria feat. GUMI,ボカロ
天体観測,BUMP OF CHICKEN,J-POP
東京,SUPER BEAVER,J-POP
東亰浪漫譚,KENN,J-POP
とくべチュ、して,#NAME?,アイドル
とても素敵な六月でした,Eight feat. 初音ミク,ボカロ
ドライフラワー,優里,J-POP
どりーみんチュチュ,emon(Tes.) feat. 巡音ルカ,ボカロ
"Don't say ""lazy""",桜高軽音部,アニソン
夏、終わらないで。,桜高軽音部,アニソン
"夏色えがおで1,2,Jump!",μ's,アニソン
夏恋花火,40mP feat. 初音ミク,ボカロ
夏祭り,JITTERIN'JINN(cover Whiteberry),J-POP
名前のない怪物,EGOIST,アニソン
涙目爆発音,ワルキューレ,アニソン
猫,DISH//,J-POP
No Logic,ジミーサムP feat. 巡音ルカ,ボカロ
ノーザンクロス,シェリル・ノーム starring May'n,アニソン
背景、夏に溺れる,n-buna feat. 初音ミク,ボカロ
倍倍FIGHT!,CANDY TUNE,アイドル
初めての恋が終わる時,ryo(supercell) feat.初音ミク,ボカロ
八月、某、月明かり,ヨルシカ,J-POP
八月の夜,SILENT SIREN,アイドル
初恋サイダー,Buono!,アイドル
ハッピー・ジャムジャム,"しまじろう(CV.南央美),とりっぴい(CV.山崎たくみ),みみりん(CV.高橋美紀),らむりん(CV.杉本沙織)",アニソン
花火,aiko,J-POP
ハナミズキ,一青窈,J-POP
ハピチョコ,FRUITS ZIPPER,アイドル
ハプニング,Nissy(西島隆弘),J-POP
破滅の純情,ワルキューレ,アニソン
晴る,ヨルシカ,J-POP
春泥棒,ヨルシカ,J-POP
春を告げる,yama,J-POP
バレリーコ,みきとP feat. GUMI,ボカロ
HELLO ～Paradise Kiss～,YUI,J-POP
晩餐歌,tuki.,J-POP
ひたむきシンデレラ!,CUTIE STREET,アイドル
微炭酸,Juice=Juice,アイドル
「ひとりで生きられそう」ってそれってねぇ、褒めているの?,Juice=Juice,アイドル
ヒバナ,DECO*27 feat. 初音ミク,ボカロ
ひまわりの約束,秦基博,J-POP
115万キロのフィルム,Official髭男dism,J-POP
秒針を噛む,ずっと真夜中でいいのに。,J-POP
ヒロイン,back number,J-POP
ファンサ,mona(CV.夏川椎菜) feat.HoneyWorks,アニソン
フィクサー,ぬゆり feat. v flower,ボカロ
フォニイ,ツミキ feat. 可不,ボカロ
不可思議のカルテ,"桜島麻衣(CV.瀬戸麻沙美),古賀朋絵(CV.東山奈央),双葉理央(CV.種崎敦美),豊浜のどか(CV.内田真礼),梓川かえで(CV.久保ユリカ),牧之原翔子(CV.水瀬いのり)",アニソン
ふでペン ～ボールペン～,放課後ティータイム,アニソン
冬の日,放課後ティータイム,アニソン
フライディ・チャイナタウン,Ms.OOJA,J-POP
プライド・ブライト,Juice=Juice,アイドル
フラジール,ぬゆり feat. GUMI,ボカロ
プラトニック・プラネット,Juice=Juice,アイドル
プラネテス,"seiza,ねこぼーろ feat. 初音ミク",ボカロ
フリージア,Uru,アニソン
FREELY TOMORROW,Mitchie M feat. 初音ミク,ボカロ
ぶる〜べりぃ♡とれいん,南ことり(CV.内田彩),アニソン
ふわふわ時間,放課後ティータイム,アニソン
僕らの戦場,ワルキューレ,アニソン
ホシアイ,レフティーモンスターP feat.GUMI,ボカロ
星が瞬くこんな夜に,supercell,アニソン
星に願いを,flumpool,J-POP
HOT LIMIT,T.M.Revolution,J-POP
ポニーテールとシュシュ,AKB48,アイドル
Mermaid festa vol.2 ～Passionate～,高坂穂乃果(CV.新田恵海)&星空凛(CV.飯田里穂),アニソン
Mermaid festa vol.1,μ's,アニソン
MY舞☆TONIGHT,Aqours,アニソン
真夏の果実,サザンオールスターズ,J-POP
真夏のSounds good!,AKB48,アイドル
魔法少女とチョコレゐト,ピノキオピー feat. 初音ミク,ボカロ
マリーゴールド,あいみょん,J-POP
丸の内サディスティック,椎名林檎,J-POP
回る空うさぎ,Orangestar feat. 初音ミク,ボカロ
ミカヅキ,さユり,アニソン
三日月,絢香,J-POP
蜜月アン・ドゥ・トロワ,DATEKEN feat. 鏡音リン,ボカロ
ムーンライト伝説,DALI,アニソン
めにしゅき♡ラッシュっしゅ!,"カレンチャン(CV.篠原侑),スティルインラブ(CV.宮下早紀),フサイチパンドラ(CV.佳原萌枝),アドマイヤグルーヴ(CV.鈴木日菜),ラッキーライラック(CV.中島由貴),ステイゴールド(CV.松田颯水),ラヴズオンリーユー(CV.久保田未夢)",アニソン
メリクリ,BoA,J-POP
メルト,ryo(supercell) feat. 初音ミク,ボカロ
メロウ,須田景凪,J-POP
妄想疾患■ガール,"もじゃ,れるりり feat. GUMI",ボカロ
"もぎゅっと""love""で接近中!",μ's,アニソン
モザイクロール,DECO*27 feat. GUMI,ボカロ
Mon Amour,Juice=Juice,アイドル
モニタリング,DECO*27 feat. 初音ミク,ボカロ
モノクロのキス,シド,アニソン
桃色片想い,松浦亜弥,アイドル
盛れ!ミ・アモーレ,Juice=Juice,アイドル
優しい彗星,YOASOBI,アニソン
ヤミタイガール,れるりり feat. GUMI,ボカロ
U&I,放課後ティータイム,アニソン
夕立のりぼん,みきとP feat. MAYU,ボカロ
幽霊東京,Ayase feat. 初音ミク,ボカロ
雪の華,中島美嘉,J-POP
夢花火,まふまふ feat. IA,ボカロ
ゆるふわ樹海ガール,石風呂 feat.初音ミク,ボカロ
夜明けと蛍,n-buna feat.初音ミク,ボカロ
夜空はなんでも知ってるの?,CYaRon!,アニソン
YONAKI,みきとP feat. 可不,ボカロ
夜もすがら君想ふ,OKOTOKO(西沢さんP) feat. GUMI,ボカロ
夜紛い,ヨルシカ,J-POP
ライラック,Mrs. GREEN APPLE,J-POP
ラヴィ,すりぃ feat. 鏡音レン,ボカロ
Love marginal,Printemps,アニソン
ラブカ?,柊キライ feat. v flower,ボカロ
ラブソングに襲われる,#NAME?,アイドル
LOVELESS WORLD,μ's,アニソン
林檎売りの泡沫少女,yukkedoluce feat. GUMI,ボカロ
ルーマー,ポリスピカデリー feat. GUMI,ボカロ
look at the sea,おいしくるメロンパン,J-POP
ルンがピカッと光ったら,ワルキューレ,アニソン
レイン,シド,アニソン
恋愛サーキュレーション,千石撫子(CV.花澤香菜),アニソン
恋愛裁判,40mP feat.初音ミク,ボカロ
ロウワー,ぬゆり feat. v flower,ボカロ
ローリンガール,wowaka feat. 初音ミク,ボカロ
ロミオとシンデレラ,doriko feat.初音ミク,ボカロ
ワールド・ランプシェード,buzzG feat. GUMI,ボカロ
ワールドイズマイン,supercell feat.初音ミク,ボカロ
ワガママ,Nissy(西島隆弘),J-POP
若者のすべて,フジファブリック,J-POP
勿忘,Awesome City Club,J-POP
わたがし,back number,J-POP
私が恋を知る日,feat.早坂あかり(CV.阿澄佳奈)/HoneyWorks,アニソン
私たちは未来の花,園田海未(CV.三森すずこ),アニソン