配信回数,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
配信日,2025/04/13,2025/04/22,2025/04/30,2025/05/12,2025/05/13,2025/05/24,2025/06/03,2025/07/07,2025/07/18,2025/07/31,2025/08/07,2025/08/28,2025/08/30,2025/08/31,2025/09/02,2025/09/15,2025/09/19,2025/10/02,2025/11/11,2025/11/17,2025/11/21,2025/11/28,2025/12/07,2025/12/09,2025/12/22,2026/01/14,2026/01/15,2026/01/22,2026/02/09,2026/02/13,2026/03/23,2026/05/10,,,,,,,,,,,,,,,,,,
配信タイトル,むかいせな 活動3周年記念🌸YouTube初配信🐏🍞思い出の曲たくさん歌います,初めての縦型歌枠配信！ボカロやアニソン歌います🐏,初めてのJOYSOUNDカラオケforSTREAMER 歌枠🎤アニソンボカロなど🐏,まったり歌練習をするよ～🎤🌟🐏,今夜はJPOP縛りまったり歌練習する！🎤🌟🐏,縦型歌枠配信📱お喉のリハビリ歌練習がしたいです！🎤✨🐏,お喉リハビリお歌枠！バラード縛り🎤🐏,今年の七夕は７７７❕🎋月と、星の歌枠🎤🐏,夏バテに負けたくないっ！歌って気分転換🎤🌟🐏,深夜ですが、歌練習がしたいです！気ままに歌います🎤🐏,🔰弾き語りしてみようの会🎤🐏,8月がもうすぐ終わっちゃうよ～！夏の終わりはちょっと寂しいね🎤🌟🐏,かっこいい曲をたくさん歌いたいです！🎤🌟🐏,8月最後の歌枠！夏曲歌うよ～🎤🌟🐏,９月最初の歌枠！アニソンやバンド曲でテンション上げてこ～～！🎤🌟🐏,今夜はボカロいっぱい歌いたいです！かっこいい系多めかも🎤🌟🐏,久々の縦型歌枠！いろいろ歌います🎤✨🐏,１０月最初の歌枠！強いひつじになる！🎤🌟🐏,1月11日はポッキー＆プリッツの日🍫甘いだけじゃ終わらない！💖久々の歌枠🎤🌟🐏,すき曲を歌いたいのです！🎤🌟🐏,一週間乗り切った✊🏻きらきら金曜日歌枠！🎤🌟🐏,あっという間に11月が終わっちゃうよ！今日もまったりお歌＆雑談🎤🌟🐏,今夜はボカロやアニソンを歌いたい！お歌＆雑談するだよ🎤🌟🐏,のんびりお歌＆雑談！🍀チャンネル登録500名様感謝🎤🌟🐏,楽しかった、運動会！今年最後のお歌＆雑談！🎤🌟🐏,2026年歌い始め！🌟🐏,今日はかっこよくきめちゃいたいです🔥🎤🐏,【 #歌枠┊︎KARAOKE 】寒い夜は、歌って喋ってほくほくになろ～🍞🎤🐏,【 #歌枠┊︎KARAOKE 】お歌リハビリ🎤✨いろんな曲歌いたい！久々のYouTube歌枠🍞🎤🐏,【 #歌枠┊︎KARAOKE 】💖バレンタイン前日はアイドルソングでほくほくな夜！🍫🎤🐏,【 #歌枠┊︎KARAOKE 】お誕生日なので飲酒歌枠でるんるんゆかい！🍫🎤🐏 ,【 #歌枠┊︎KARAOKE 】メイドの日！かわいくてきゅんなお歌を歌いたい！🎤🌟🐏,,,,,,,,,,,,,,,,,,
配信URL,https://www.youtube.com/live/RfRgwpksJUI?si=qC-Y8cdIhwj6Ey8y,https://www.youtube.com/live/fymLT7-oRQg?si=uCaWeEzdfW7MChF4,https://www.youtube.com/live/w2KfkD4XHPA?si=wrtKA6LzUK9p62v7,https://www.youtube.com/live/TP-3xWXk-Bo?si=7SDC6lXFZgwCHG7T,https://www.youtube.com/live/6vjTYIHDQ1w?si=MngfkkWUNWMWTkkH,https://www.youtube.com/live/n3yK1qtlBLA?si=aSrl8ybQVM_VtJ9t,https://www.youtube.com/live/5R9TMMngwEM?si=0hXrErzEeomZ-7u7,https://www.youtube.com/live/ZlDzDtO9SF8?si=kC47iWtEPSIOUdsx,https://www.youtube.com/live/3LxM7ue11ew?si=zz1AspyOYjd-ia_A,https://www.youtube.com/live/BN0hOFxGr3E?si=_YTosqEh6qwtcpnR,https://www.youtube.com/live/0c8mwXazz78?si=9GSvnYuw66ynHfa5,https://www.youtube.com/live/CC0DWDRV5aY?si=gBiuJXzI8W2933gR,https://www.youtube.com/live/AUchxEu15Ck?si=QL1UtiLCjpmnjlSy,https://www.youtube.com/live/HMP-Y3lEVGI?si=Gf4n2gwalLJEvmlh,https://www.youtube.com/live/GaZnPET_U3c?si=LYcWyqriUPbIq8FG,https://www.youtube.com/live/z_gAvgEJsn4?si=zjsxvvgEvKnJWybN,https://www.youtube.com/live/ufB_IaxNJIA?si=ogkwXonkNTFtwQFO,https://www.youtube.com/live/R6XrO-Xc17A?si=UOEYXwU9Of_MDr2e,https://www.youtube.com/live/nyhCWuScHnc?si=Rhk0XXllUAJHu3GJ,https://www.youtube.com/live/GP8MgwwN858?si=47tp-ck1C1lk_rCs,https://www.youtube.com/live/ayV9_h4RDTI?si=2YTeP9Zce3BzHtiK,https://www.youtube.com/live/oUSOaxy1IBU?si=Rbyj65xL6oCZ5MuI,https://www.youtube.com/live/eZi2S80TqBs?si=IPpAMLDnxg9S86uO,https://www.youtube.com/live/z9o5Rie83GI?si=tzjld47fXhidr7CZ,https://www.youtube.com/live/jW8HuFnyGPA?si=f_MgniSE1EtaBHuE,https://www.youtube.com/live/L6TklwfxkmY?si=UJ6rLlhm23n-b5OF,https://www.youtube.com/live/P922iIFG17s?si=aStq-bAj8cLCLT2Q,https://www.youtube.com/live/q6q6tweijZo?si=jhYfXMtWKZreZh2K,https://www.youtube.com/live/kNI37CXKePI?si=9tFe135USTQhYlPC,https://www.youtube.com/live/hrYgxnO7bkE?si=2vlUvNR6uuXfrk67,https://www.youtube.com/live/dS0JfluOdvs?si=qcDPEEwIbxe-62W7,https://www.youtube.com/live/c6n2seI3m_o?si=0aqt3NtJ5fZ48V14,,,,,,,,,,,,,,,,,,
曲数,19,19,19,14,10,9,13,8,23,9,9,12,10,13,15,10,19,12,8,12,12,11,11,9,14,8,13,10,10,12,12,6,,,,,,,,,,,,,,,,,,
1,夜もすがら君想ふ,丸の内サディスティック,秒針を噛む,スイートマジック,キラキラ,ヤミタイガール,群青,ホシアイ,コネクト,若者のすべて,マリーゴールド,恋愛裁判,噓,サマータイムレコード,怪獣の花唄,サリシノハラ,Calc.,秒針を噛む,星に願いを,夜もすがら君想ふ,噓,IRIS OUT,朱色の砂浜,SUN,好き!雪!本気マジック,Watch me!,モノクロのキス,私が恋を知る日,ストロー,倍倍FIGHT!,ハッピー・ジャムジャム,桃色片想い,,,,,,,,,,,,,,,,,,
2,ファンサ,世田谷ナイトサファリ,境界の彼方,恋愛裁判,勿忘,ダーリン,366日,君の知らない物語,青のすみか,天ノ弱,ひまわりの約束,少女レイ,ENAMEL,夢花火,チェリボム,Dec.,花瓶に触れた Piano Ver.,「ひとりで生きられそう」ってそれってねぇ、褒めているの?,ヒロイン,恋の魔法,コネクト,Can Do,フィクサー,Overdose,めにしゅき♡ラッシュっしゅ!,春泥棒,ラブカ?,好き!雪!本気マジック,さよならプリンセス,キス・ミー・パティシエ,晴る,グリズリーに襲われたら♡,,,,,,,,,,,,,,,,,,
3,ハッピー・ジャムジャム,噓,Starry Wish,夏恋花火,look at the sea,メロウ,ドライフラワー,星間飛行,少女レイ,回る空うさぎ,カブトムシ,夜明けと蛍,ETERNAL BLAZE,八月、某、月明かり,名前のない怪物,しわ,CITRUS,プラトニック・プラネット,雪の華,バレリーコ,お勉強しといてよ,雨とペトラ,フラジール,ダーリン,Snow halation,優しい彗星,愛して愛して愛して,タイムマシン,初めての恋が終わる時,sweet&sweet holiday,春泥棒,初恋サイダー,,,,,,,,,,,,,,,,,,
4,Catch You Catch Me,モノクロのキス,私たちは未来の花,夏、終わらないで。,わたがし,怪獣,ひまわりの約束,夏恋花火,メルト,ローリンガール,ハナミズキ,フォニイ,God knows...,わたがし,創聖のアクエリオン,ラブカ?,奏,プライド・ブライト,Winter Blossom,タイムマシン,ワガママ,朝を呑む,幽霊東京,白い恋人達,初めての恋が終わる時,夜もすがら君想ふ,ラヴィ,シリョクケンサ,冬の日,"もぎゅっと""love""で接近中!",春を告げる,君とtea for two♡,,,,,,,,,,,,,,,,,,
5,初恋サイダー,ロウワー,からくりピエロ,Mermaid festa vol.1,風に薫る夏の記憶,UNDEAD,心做し,天体観測,君と夏フェス,林檎売りの泡沫少女,晩餐歌,スイートマジック,"Don't say ""lazy""",ただ君に晴れ,三日月,ギラギラ,女の子は誰でも,紅蓮華,カヌレ,Dec.,ココア,雨とカプチーノ,ありふれた悲しみの果て,メリクリ,スターライトパレード,Winter Blossom,soldier game,乙女解剖,魔法少女とチョコレゐト,ハピチョコ,CHE.R.RY,ぶる〜べりぃ♡とれいん,,,,,,,,,,,,,,,,,,
6,恋愛サーキュレーション,フラジール Piano Ver.,バレリーコ,Mermaid festa vol.2 ～Passionate～,115万キロのフィルム,ツインテールは20歳まで♡,雨とペトラ,君の知らない物語 Piano Ver.,青と夏,星が瞬くこんな夜に,猫,サラマンダー,黒猫 ～Adult Black Cat,HOT LIMIT,ミカヅキ,フィクサー,スターライトパレード,ノーザンクロス,初めての恋が終わる時,好きって言ってよ,アイマイモコ,Shout Baby,錯覚CROSSROADS,地球最後の告白を,ツインテールは20歳まで♡,君色に染まる,エゴロック,モザイクロール,どりーみんチュチュ,心予報,Good-bye days,青空のラプソディ,,,,,,,,,,,,,,,,,,
7,輝夜の城で踊りたい,花瓶に触れた,モニタリング,"夏色えがおで1,2,Jump!",ハプニング,小夜子,雨とカプチーノ,とても素敵な六月でした,花火,Shout Baby,さようなら、花泥棒さん,Absolute 5,東亰浪漫譚,イケナイ太陽,回る空うさぎ,モニタリング,星座になれたら,世田谷ナイトサファリ,モノクロのキス,シャボン玉,アイオライト,東京,LOVELESS WORLD,明け星,ラブソングに襲われる,I wonder,フラジール,ワールドイズマイン,チェリボム,恋愛裁判,HELLO ～Paradise Kiss～,,,,,,,,,,,,,,,,,,,
8,soldier game,DISCOTHEQUE,ゴーストルール,Storm in Lover,あの夢をなぞって,きょういくばんぐみのテーマ,それがあなたの幸せとしても,Stellar Stellar,夏祭り,irony,夜もすがら君想ふ,恋! ハレイション THE WAR,クイーンオブハート,ポニーテールとシュシュ,蜜月アン・ドゥ・トロワ,ワールド・ランプシェード,青春コンプレックス,夕立のりぼん,回る空うさぎ,ツインテールは20歳まで♡,禁断少女,「ひとりで生きられそう」ってそれってねぇ、褒めているの?,私たちは未来の花,君の知らない物語,メルト,回る空うさぎ,コールボーイ,サラマンダー,CHE.R.RY,好きって言ってよ,桜のあと（all quartets lead to the?）,,,,,,,,,,,,,,,,,,,
9,一度だけの恋なら,U&I,ヒバナ,Love marginal,エイリアンズ,プラネテス,ウィアートル,,君がくれた夏,アヤノの幸福理論,少女レイ,7月のサイダー,フラジール,真夏のSounds good!,アポロ,ルーマー,ずうっといっしょ！,月陽-ツキアカリ-,,きゅるりんしてみて,泡沫サタデーナイト!,好きって言ってよ,恋のシグナル Rin rin rin!,小夜子,真生活,,世田谷ナイトサファリ,小悪魔だってかまわない！,チェリー,禁断少女,栞,,,,,,,,,,,,,,,,,,,
10,God knows...,僕らの戦場,命のユースティティア,Absolute 5,月とあたしと冷蔵庫,,とても素敵な六月でした,,夏、終わらないで。,,,微炭酸,Get Wild,スターマイン,月陽-ツキアカリ-,それがあなたの幸せとしても,ヤミタイガール,God knows...,,秋のあなたの空遠く,フライディ・チャイナタウン,大阪LOVER,涙目爆発音,,ワールド・ランプシェード,,盛れ!ミ・アモーレ,ファンサ,スイートマジック,とくべチュ、して,風になる,,,,,,,,,,,,,,,,,,,
11,地球最後の告白を,破滅の純情,サマータイムレコード,夜紛い,,,背景、夏に溺れる,,青い珊瑚礁,,,エメラルドシティ,,八月の夜,月光花,,妄想疾患■ガール,射手座☆午後九時Don't be late,,エメラルドシティ,ワールド・ランプシェード,ハッピー・ジャムジャム,ルンがピカッと光ったら,,God Bless You,,蝶,,,ラブソングに襲われる,あの夢をなぞって,,,,,,,,,,,,,,,,,,,
12,コネクト,366日,メルト,ただ君に晴れ,,,ワールド・ランプシェード,,真夏の果実,,,快眠!安眠!スヤリスト生活,,secret base〜君がくれたもの〜,逆光,,ゆるふわ樹海ガール,名前のない怪物,,快眠!安眠!スヤリスト生活,Snow halation,,,,ダイアモンド クレバス,,クイーンオブハート,,,sweets parade,レイン,,,,,,,,,,,,,,,,,,,
13,君の知らない物語,ライラック,ロミオとシンデレラ,Mon Amour,,,不可思議のカルテ,,モニタリング,,,,,夏恋花火,ムーンライト伝説,,FREELY TOMORROW,,,,,,,,フリージア,,名前のない怪物,,,,,,,,,,,,,,,,,,,,,,,
14,ルンがピカッと光ったら,怪獣の花唄,脱獄,ひたむきシンデレラ!,,,,,創聖のアクエリオン,,,,,,月とあたしと冷蔵庫,,ダーリン,,,,,,,,おくすり飲んで寝よう,,,,,,,,,,,,,,,,,,,,,,,,,
15,少女レイ,No Logic,月陽-ツキアカリ-,,,,,,"夏色えがおで1,2,Jump!",,,,,,KissHug,,フィクサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,朱色の砂浜,Calc.,アイオライト,,,,,,恋になりたいAQUARIUM,,,,,,,,ジャンキーナイトタウンオーケストラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,kiss,地球最後の告白を,ふわふわ時間,,,,,,MY舞☆TONIGHT,,,,,,,,林檎売りの泡沫少女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,YONAKI,おやすみ泣き声、さよなら歌姫,ふでペン ～ボールペン～,,,,,,夜空はなんでも知ってるの?,,,,,,,,おくすり飲んで寝よう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,蜜月アン・ドゥ・トロワ,不可思議のカルテ,エメラルドシティ,,,,,,オリオンをなぞる,,,,,,,,不可思議のカルテ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,明日への手紙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,フリージア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,ウィアートル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,風に薫る夏の記憶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,